Sr.No.,State / Union Territory,City / town,SO2 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
1,Andhra Pradesh,Amaravati,12,10,54,30
2,Andhra Pradesh,Anatapur,6,19,61,32
3,Andhra Pradesh,Chittor,5,13,55,31
4,Andhra Pradesh,Eluru,5,18,67,31
5,Andhra Pradesh,Guntur,4,17,60,23
6,Andhra Pradesh,Kadapa,6,16,56,28
7,Andhra Pradesh,Kakinada,8,15,69,24
8,Andhra Pradesh,Kurnool,6,18,64,34
9,Andhra Pradesh,Nellore,4,17,55,22
10,Andhra Pradesh,Ongole,5,18,50,17
11,Andhra Pradesh,Rajahmundry/Rajamahendravaram,6,13,66,30
12,Andhra Pradesh,Srikakulam,9,20,72,26
13,Andhra Pradesh,Tirupati,6,22,58,31
14,Andhra Pradesh,Vijayawada,4,18,71,36
15,Andhra Pradesh,Visakhapatnam,15,33,108,43
16,Andhra Pradesh,Vizianagaram,9,19,70,25
17,Arunachal Pradesh,Itanagar,2,11,58,NM
18,Arunachal Pradesh,Naharlagun,28,12,57,23
19,Assam,Bongaigaon,5,12,56,30
20,Assam,Brynihat,8,16,257,108
21,Assam,Daranga,7,15,41,NM
22,Assam,Dibrugarh,6,11,44,22
23,Assam,Golaghat,6,11,43,18
24,Assam,Guwahati,12,8,101,53
25,Assam,Magherita,5,11,39,17
26,Assam,Nagaon,7,15,83,38
27,Assam,Nalbari,7,14,95,47
28,Assam,North Lakhimpur,7,15,60,27
29,Assam,Silcher,7,11,45,20
30,Assam,Sivasagar,5,10,38,19
31,Assam,Tezpur,6,15,57,24
32,Assam,Tinsukia,5,11,40,17
33,Bihar,Araria,8,46,139,77
34,Bihar,Arrah,6,65,162,59
35,Bihar,Aurangabad,9,25,187,74
36,Bihar,Begusarai,12,16,188,114
37,Bihar,Bettiah,3,24,178,95
38,Bihar,Bhagalpur,15,54,170,82
39,Bihar,Bihar Sharif,5,43,209,86
40,Bihar,Buxar,4,31,213,89
41,Bihar,Chhapra,6,37,216,98
42,Bihar,Darbhanga,10,20,202,92
43,Bihar,Gaya,8,38,149,71
44,Bihar,Hajipur,5,24,138,67
45,Bihar,Katihar,8,32,227,103
46,Bihar,Kishanganj,6,36,142,75
47,Bihar,Manguraha,5,26,88,38
48,Bihar,Motihari,7,31,153,79
49,Bihar,Munger,15,29,201,90
50,Bihar,Muzaffarpur,9,24,175,89
51,Bihar,Patna,7,32,175,90
52,Bihar,Purnia,5,45,167,100
53,Bihar,Rajgir,6,35,132,70
54,Bihar,Saharsa,4,43,250,103
55,Bihar,Samastipur,5,40,220,88
56,Bihar,Sasaram,13,53,142,74
57,Bihar,Siwan,8,56,198,112
58,Chandigarh (UT),Chandigarh,7,27,113,57
59,Chattisgarh,Bilaspur,8,14,61,27
60,Chattisgarh,Durg Bhillainagar,10,13,61,26
61,Chattisgarh,Korba,8,18,61,-
62,Chattisgarh,Raigarh,11,13,73,32
63,Chattisgarh,Raipur,14,20,72,30
64,Dadara & Nagar Haveli and Daman & Diu (UT),Baldevi,15,20,73,29
65,Dadara & Nagar Haveli and Daman & Diu (UT),Daman,19,24,76,31
66,Dadara & Nagar Haveli and Daman & Diu (UT),Patlara (Daman),18,23,76,30
67,Dadara & Nagar Haveli and Daman & Diu (UT),Silvasa,17,22,77,30
68,Delhi (UT),Delhi,9,41,207,98
69,Goa,Amona,7,12,58,27
70,Goa,Assanora,7,13,57,27
71,Goa,Bicholim,7,13,57,27
72,Goa,Codli,7,13,58,27
73,Goa,Cuncolim,7,13,68,31
74,Goa,Honda,7,13,58,27
75,Goa,Kundaim,7,13,59,28
76,Goa,Mapusa,2,15,43,-
77,Goa,Margao,7,13,57,27
78,Goa,Panaji,2,16,62,-
79,Goa,Ponda,7,13,59,28
80,Goa,Sanguem,7,13,57,27
81,Goa,Tilamol,7,13,58,27
82,Goa,Tuem,7,13,57,27
83,Goa,Usgao Pale,7,13,60,28
84,Goa,Vasco,2,15,47,26
85,Gujarat,Ahmedabad,22,33,112,41
86,Gujarat,Ankleshwar,38,32,114,59
87,Gujarat,Gandhinagar,16,13,89,47
88,Gujarat,Jamnagar,14,19,109,27
89,Gujarat,Nandesari,10,4,55,45
90,Gujarat,Rajkot,14,19,108,28
91,Gujarat,Surat,19,23,113,49
92,Gujarat,Vadodara,14,19,110,28
93,Gujarat,Vapi,37,9,119,69
94,Gujarat,Vatva,8,42,113,51
95,Haryana,Ambala,7,24,136,68
96,Haryana,Bahadurgarh,11,26,163,83
97,Haryana,Ballabgarh,20,14,156,68
98,Haryana,Bhiwani,15,21,117,74
99,Haryana,Charkhi Dadri,7,17,157,77
100,Haryana,Dharuhera,10,19,216,87
101,Haryana,Faridabad,15,20,211,92
102,Haryana,Fatehabad,10,22,150,73
103,Haryana,Gurgaon,7,24,197,90
104,Haryana,Hissar,8,40,153,79
105,Haryana,Jind,8,15,132,78
106,Haryana,Kaithal,13,14,142,67
107,Haryana,Karnal,11,12,113,55
108,Haryana,Kurukshetra,11,31,132,74
109,Haryana,Mandikhera,13,10,87,28
110,Haryana,Manesar,13,21,161,91
111,Haryana,Narnaul,5,26,114,55
112,Haryana,Palwal,5,14,116,35
113,Haryana,Panchukula Urban Estate,16,23,NM,58
114,Haryana,Panipat,23,19,167,50
115,Haryana,Rohtak,15,45,NM,82
116,Haryana,Sirsa,19,28,130,50
117,Haryana,Sonepat,12,19,184,46
118,Haryana,Yamuna Nagar,11,14,168,76
119,Himachal Pradesh,Baddi,16,17,126,46
120,Himachal Pradesh,Damtal,2,5,67,33
121,Himachal Pradesh,Dharamshala,2,5,47,22
122,Himachal Pradesh,Kala Amb,4,12,84,42
123,Himachal Pradesh,Manali,2,7,43,14
124,Himachal Pradesh,Nalagarh,2,13,80,25
125,Himachal Pradesh,Parwanoo,2,5,44,12
126,Himachal Pradesh,Poanta Sahib,4,11,101,47
127,Himachal Pradesh,Shimla,2,8,44,20
128,Himachal Pradesh,Sunder Nagar,2,5,47,22
129,Himachal Pradesh,Una,3,8,55,27
130,Jammu & Kashmir (UT),Doda (J),NM,NM,-,23
131,Jammu & Kashmir (UT),Jammu,3,21,171,32
132,Jammu & Kashmir (UT),Samba (J),NM,NM,124,35
133,Jammu & Kashmir (UT),Srinagar (K),22,17,83,27
134,Jammu & Kashmir (UT),Udhampur (J),NM,NM,179,-
135,Jharkhand,Barajamda,17,22,78,NM
136,Jharkhand,Dhanbad,13,35,207,NM
137,Jharkhand,Jamshedpur,37,45,129,NM
138,Jharkhand,Jharia,14,37,281,NM
139,Jharkhand,Jorapokhar,13,14,126,NM
140,Jharkhand,Ranchi,17,36,106,NM
141,Jharkhand,Saraikela,37,45,134,NM
142,Jharkhand,Sindri,13,22,158,NM
143,Karnataka,Bagalkote,5,9,47,24
144,Karnataka,Bangalore,6,19,68,32
145,Karnataka,Belgaum,21,19,88,37
146,Karnataka,Bidar,38,5,84,-
147,Karnataka,Bijapur / Vijayapura,5,10,50,18
148,Karnataka,Chamarajanagar,3,17,40,17
149,Karnataka,Chikkaballapur,9,22,67,33
150,Karnataka,Chikkamagaluru,5,17,46,20
151,Karnataka,Chitradurga,3,6,41,12
152,Karnataka,Devanagere,4,16,66,26
153,Karnataka,Gadag,15,13,53,28
154,Karnataka,Gulbarga / Kalaburgi,17,20,92,38
155,Karnataka,Hassan,17,25,68,27
156,Karnataka,Haveri,13,8,51,25
157,Karnataka,Hubli Dharwad,8,15,72,29
158,Karnataka,Kolar,59,13,97,43
159,Karnataka,Koppal,20,13,55,23
160,Karnataka,Madikeri,16,4,36,19
161,Karnataka,Mandya,2,14,39,-
162,Karnataka,Mangalore,8,27,58,22
163,Karnataka,Mysore,3,14,47,20
164,Karnataka,Raichur,16,24,91,31
165,Karnataka,Ramanagara,24,19,58,28
166,Karnataka,Shimaga / Shivamogga,5,23,52,23
167,Karnataka,Tumkuru,2,14,59,34
168,Karnataka,Udupi,25,16,21,NM
169,Karnataka,Yadgir,19,12,62,30
170,Kerala,Alappuzha,2,5,50,NM
171,Kerala,Eloor,12,18,62,31
172,Kerala,Ernakulam,3,26,34,22
173,Kerala,Kannur,2,14,63,36
174,Kerala,Kochi,6,17,80,58
175,Kerala,Kollam,4,16,72,33
176,Kerala,Kottayam,2,10,44,NM
177,Kerala,Kozhikode,5,14,59,33
178,Kerala,Mallappuram,2,15,31,25
179,Kerala,Palakkad,2,5,62,24
180,Kerala,Pathanamthitta,2,5,33,NM
181,Kerala,Thiruvalla,2,5,60,NM
182,Kerala,Thiruvanantapuram,5,12,43,27
183,Kerala,Thrissur,3,18,54,31
184,Kerala,Wayanad,2,5,40,22
185,Madhya Pradesh,Amlai,11,18,71,33
186,Madhya Pradesh,Bhopal,16,22,126,52
187,Madhya Pradesh,Chindwara,5,17,78,35
188,Madhya Pradesh,Damoh,NM,5,56,30
189,Madhya Pradesh,Dewas,13,23,102,38
190,Madhya Pradesh,Gwalior,20,27,132,64
191,Madhya Pradesh,Indore,14,49,111,42
192,Madhya Pradesh,Jabalpur,10,30,128,46
193,Madhya Pradesh,Katni,17,27,151,58
194,Madhya Pradesh,Maihar,9,10,37,17
195,Madhya Pradesh,Mandideep,37,38,108,39
196,Madhya Pradesh,Nagda,7,5,45,23
197,Madhya Pradesh,Pithampur,15,14,106,44
198,Madhya Pradesh,Ratlam,12,27,98,40
199,Madhya Pradesh,Rewa,6,21,56,25
200,Madhya Pradesh,Sagar,8,19,78,34
201,Madhya Pradesh,Satna,6,13,62,21
202,Madhya Pradesh,Singrauli,27,71,184,72
203,Madhya Pradesh,Ujjain,8,16,118,46
204,Maharashtra,Akola,14,14,63,NM
205,Maharashtra,Ambernath,21,47,78,NM
206,Maharashtra,Amravati,13,15,67,NM
207,Maharashtra,Aurangabad,15,26,125,58
208,Maharashtra,Badlapur,22,57,125,NM
209,Maharashtra,Bhiwandi,29,41,61,NM
210,Maharashtra,Chandrapur,14,27,123,48
211,Maharashtra,Dombivali / Kalyan,21,28,128,54
212,Maharashtra,Jalgaon,12,20,63,NM
213,Maharashtra,Jalna,10,45,93,NM
214,Maharashtra,Kolhapur,14,25,80,NM
215,Maharashtra,Latur,8,16,55,NM
216,Maharashtra,Mumbai,16,29,114,49
217,Maharashtra,Nagpur,8,22,85,45
218,Maharashtra,Nanded,22,42,79,NM
219,Maharashtra,Nashik,5,27,61,36
220,Maharashtra,Navi Mumbai,21,44,100,50
221,Maharashtra,Pimpri Chinchwad,17,42,84,NM
